BRC code|species|fam|famA|OrdA|NS|CS|RS|Chg|Hght|Len|P1|P2|LF1|LF2|W|Clone1|Clone2|E1|E2|C|NBI|NEur|SBI|SEur|Origin|GB|IR|CI|Tjan|Tjul|Prec|Co|Br Habitats|L|F|R|N|S|Source for max height|Comment on life form|Comment on clonality|Comment on N and S limits in Europe
0920    92|amaranthus_retroflexus|Amar|Amar|Cary|AN||||100.0||a||Th||h|0|||||||||Am, SAm|434.0|36.0|10.0|4.0|16.0|787.0||3, 4, 17|7.0|4.0|7.0|7.0|0.0|Stace (1997)|||
0920    97|ammophila_arenaria|Poac|Poac|Poal|N||n|-0.26|120.0||p||hc||h|Rhiz2||8|3||0.0|60-65|0.0|<45||553.0|166.0|10.0|4.4|14.4|1083.0|Co|19|9.0|4.0|6.0|3.0|3.0|Stace (1997)|rhizomatous hemicryptophyte;  does not disappear in winter||
0920  2616|amsinckia_micrantha|Bora|Bora|Unpl|AN||||70.0||a||Th||h|0|||||||||Am4|336.0|1.0|0.0|3.4|15.4|701.0||4|9.0|3.0|3.0|3.0|0.0|Stace (1991)|||
0920    98|anacamptis_pyramidalis|Orch|Orch|Aspa|N||n|0.55|55.0||p||Gn||h|0||8|3||0.0|55-60|0.0|<45||840.0|350.0|9.0|4.1|15.5|861.0||7|8.0|4.0|8.0|3.0|0.0|average of CTW (1962) & Stace (1997)|||
0920    99|anagallis_arvensis|Prim|Prim|Eric|N||n|-0.73|20.0||a||Th||h|0||8|4||0.0|50-55|0.0|<45||1856.0|713.0|14.0|4.0|15.2|962.0||4|7.0|4.0|6.0|5.0|0.0|CTW (1962);  reduced from 30 to 20 cm because decumbent|||
0920   456|centunculus_minimus|Prim|Prim|Eric|N||n|-1.16|5.0||a||Th||h|0||7|3||0.0|60-65|0.0|<45||532.0|87.0|7.0|4.2|14.8|1155.0||3|8.0|7.0|5.0|3.0|0.0|Stace (1997)|||
0920   100|anagallis_tenella|Prim|Prim|Eric|N||n|-0.54|5.0||p||hc|Ch|h|Node2||8|1||0.0|60-65|0.0|<45||1281.0|636.0|9.0|4.0|14.6|1139.0||11|8.0|8.0|5.0|3.0|0.0|estimated height (MOH)|chamaephyte (CTW 1962), but buds are at ground level||
0920   101|anaphalis_margaritacea|Aste|Aste|Aste|AN|||0.07|100.0||p||hc||h|Rhiz1|||||||||As2, Am|259.0|12.0|2.0|3.6|14.8|1167.0||1, 3|8.0|5.0|6.0|3.0|0.0|Stace (1997)|||
0920  1218|anchusa_arvensis|Bora|Bora|Unpl|AR|||-0.7|50.0||a|b|Th|hc|h|0||7|4|||||||1514.0|75.0|13.0|3.7|15.0|874.0||4|7.0|4.0|6.0|5.0|0.0|Stace (1991)|CTW imply that mainly annual||
0920   103|andromeda_polifolia|Eric|Eric|Eric|N||n|0.09|35.0||p||Ch||w|Rhiz2||4|6||0.0|>65|0.0|<45||222.0|152.0|0.0|3.3|14.4|1159.0||12|9.0|9.0|1.0|1.0|0.0|Stace (1997)|dwarf shrub||
0920   105|anemone_nemorosa|Ranu|Ranu|Ranu|N||n|-0.7|23.0||p||Gn||h|Rhiz1||7|4||0.0|>65|0.0|<45||2305.0|541.0|3.0|3.3|14.5|1113.0||1, 16|5.0|6.0|5.0|4.0|0.0|Butcher (1961)|||
0920   109|angelica_sylvestris|Apia|Apia|Apia|N||n|0.12|200.0||p||hc||h|0||5|4||0.0|>65|0.0|<45||2726.0|968.0|5.0|3.5|14.4|1109.0||11, 16|7.0|8.0|6.0|5.0|0.0|CTW (1962)|||
0920   110|anisantha_diandra|Poac|Poac|Poal|AN|||1.5|80.0||a||Th||h|0||0|3||||||Eur|307.0|6.0|12.0|3.9|16.0|728.0||3, 4, 19|7.0|4.0|5.0|4.0|0.0|Stace (1997)|||
0920   112|anisantha_rigida|Poac|Poac|Poal|AN|||1.13|60.0||a||Th||h|0||0|3||||||Eur|97.0|0.0|7.0|4.1|16.1|709.0||3, 4, 19|8.0|4.0|8.0|7.0|0.0|Stace (1997)|||
0920   113|anisantha_sterilis|Poac|Poac|Poal|AR|||0.05|80.0||a||Th||h|0||8|3|||||||1836.0|281.0|14.0|3.8|15.3|893.0||3, 4, 17|7.0|5.0|8.0|7.0|0.0|Stace (1997)|||
0910   115|anogramma_leptophylla|Adia|Adia|Poly|N||o||7.0||a||Th||h|DRp||9|1||1.0|45-50|0.0|<45||0.0|0.0|3.0|6.2|16.7|832.0||3|7.0|2.0|8.0|1.0|0.0|Page (1997)|According to CTW (1962), prothallus is perennial|Prothalli produce tubers, by which aestivation is achieved (shown by Jeff Duckett to MOH near Naples, Feb. 2006)|
0920   116|antennaria_dioica|Aste|Aste|Aste|N||n|-0.88|15.0||p||Ch||h|Stol1||5|5||0.0|>65|0.0|<45||968.0|356.0|0.0|2.9|13.3|1379.0||7, 10|8.0|5.0|4.0|2.0|0.0|Butcher (1961)|||
0920   117|anthemis_arvensis|Aste|Aste|Aste|AR|||-1.79|50.0||a||Th||h|0||8|3|||||||696.0|19.0|7.0|3.7|15.6|797.0||3, 4|7.0|4.0|7.0|6.0|0.0|Stace (1997)|||
0920   118|anthemis_cotula|Aste|Aste|Aste|AR|||-1.6|60.0||a||Th||h|0||8|3|||||||1103.0|49.0|6.0|3.8|15.7|809.0||4|7.0|5.0|6.0|6.0|0.0|Stace (1997)|||
0920   122|anthoxanthum_aristatum|Poac|Poac|Poal|AN|||-2.65|40.0||a||Th||h|0|||||||||Eur|93.0|0.0|1.0|3.9|16.0|775.0||4, 17|7.0|4.0|4.0|5.0|0.0|Stace (1997)|||
0920   121|anthoxanthum_odoratum|Poac|Poac|Poal|N||n|0.9|50.0||p||hc||h|0gr||6|4||0.0|>65|0.0|<45||2782.0|965.0|14.0|3.5|14.4|1106.0||6|7.0|6.0|4.0|3.0|0.0|Stace (1997)|||
0920   123|anthriscus_caucalis|Apia|Apia|Apia|N||n|-0.16|70.0||a||Th||h|0||7|3||0.0|55-60|0.0|<45||659.0|47.0|12.0|3.9|15.7|747.0||3, 4, 8|7.0|5.0|6.0|5.0|0.0|Stace (1991)|||
0920   125|anthriscus_sylvestris|Apia|Apia|Apia|N||n|-0.19|100.0||p||hc||h|0||5|5||0.0|>65|0.0|<45||2480.0|805.0|5.0|3.6|14.6|1039.0||3|6.0|5.0|7.0|7.0|0.0|CTW (1962)||clonal growth is accompanied by almost no lateral spread|
0920   126|anthyllis_vulneraria|Faba|Faba|Faba|N||n|0.45|60.0||p||hc||h|0||5|3||0.0|>65|0.0|<45||1798.0|465.0|9.0|3.7|14.6|1030.0||7|8.0|4.0|7.0|2.0|0.0|Stace (1997)|||
0920   127|antirrhinum_majus|Scro|Plan|Lami|AN|||2.84|30.0||p||Ch||h|0|||||||||Eur|1043.0|84.0|8.0|3.9|15.7|837.0||3, 17|8.0|3.0|7.0|5.0|0.0|Butcher (1961)|||
0920   129|apera_interrupta|Poac|Poac|Poal|AN|||0.8|40.0||a||Th||h|0||8|4||||||Eur, As1|104.0|0.0|0.0|3.4|15.9|671.0||3, 4, 16|9.0|5.0|8.0|6.0|3.0|Stace (1997)|||
0920   130|apera_spica_venti|Poac|Poac|Poal|AR|||-0.21|100.0||a||Th||h|0||5|4|||||||326.0|1.0|3.0|3.7|16.0|726.0||3, 4|7.0|4.0|5.0|5.0|0.0|Stace (1997)|||
0920   132|aphanes_arvensis|Rosa|Rosa|Rosa|N||n||10.0||a||Th||h|0||7|3||1.0|55-60|0.0|<45||1608.0|432.0|4.0|3.7|15.0|956.0||4, 16|8.0|4.0|6.0|4.0|0.0|Stace (1991)|||
