BRC code|species|fam|famA|OrdA|NS|CS|RS|Chg|Hght|Len|P1|P2|LF1|LF2|W|Clone1|Clone2|E1|E2|C|NBI|NEur|SBI|SEur|Origin|GB|IR|CI|Tjan|Tjul|Prec|Co|Br Habitats|L|F|R|N|S|Source for max height|Comment on life form|Comment on clonality|Comment on N and S limits in Europe
0920   131|aphanes_arvensis_agg.|Rosa|Rosa|Rosa|N||n|-0.32|10.0||a||Th||h|0||7|3|||||||2302.0|659.0|14.0|3.6|14.7|1038.0||4, 8, 16|7.0|4.0|6.0|4.0|0.0|Stace (1991)|||
0920   133|aphanes_australis|Rosa|Rosa|Rosa|N||n||10.0||a||Th||h|0||7|3||1.0|60-65|0.0|<45||1549.0|230.0|14.0|3.5|14.6|1070.0||8, 16|7.0|4.0|5.0|4.0|0.0|Stace (1991)|||
0920   134|apium_graveolens|Apia|Apia|Apia|N||n|-0.63|80.0||b||hc||h|0||8|4||0.0|55-60|0.0|<45||519.0|82.0|8.0|4.3|15.8|849.0||13|8.0|8.0|7.0|7.0|2.0|average of CTW & Stace|||
0920   135|apium_inundatum|Apia|Apia|Apia|N||n|-0.54|30.0|50.0|p||Hy||h|Irreg||7|2||1.0|55-60|0.0|<45||927.0|351.0|6.0|3.8|14.8|1023.0||11, 13|7.0|10.0|6.0|4.0|0.0|CTW (1962) - half size of A. nodiflorum|||
0920   137|apium_nodiflorum|Apia|Apia|Apia|N||n|-0.31|60.0|100.0|p||Hy||h|Irreg||8|4||1.0|55-60|0.0|<45||1661.0|855.0|12.0|4.0|15.2|961.0||14|7.0|10.0|7.0|7.0|0.0|Terrestrial height from Butcher (1961);  submerged length from Stace (1991)|||
0920   138|apium_repens|Apia|Apia|Apia|N|CR|r||15.0||p||hc||h|Node2||7|3||0.0|55-60|0.0|<45||3.0|0.0|0.0|3.6|16.4|651.0||13|9.0|9.0|7.0|7.0|0.0|Estimated from figure in Tutin (1980)|Less of a hydrophyte than A. nodiflorum.||
0920   141|aquilegia_vulgaris|Ranu|Ranu|Ranu|N||n|1.7|100.0||p||hc||h|0||7|3||1.0|55-60|0.0|<45||1504.0|197.0|5.0|3.6|15.0|986.0||1, 3, 16|6.0|4.0|6.0|5.0|0.0|Stace (1997)|||
0920   142|arabidopsis_thaliana|Bras|Bras|Bras|N||n|1.21|30.0||a||Th||h|0||7|4||0.0|>65|0.0|<45||2218.0|509.0|13.0|3.5|14.8|1034.0||16, 17|8.0|3.0|6.0|2.0|0.0|Stace (1991)|||
0920   143|arabis_alpina|Bras|Bras|Bras|N|EN|r||15.0||p||Ch||h|0||1|4||0.0|>65|0.0|<45||1.0|0.0|0.0|2.5|11.8|3218.0||16|7.0|5.0|7.0|3.0|0.0|Rich (1991)|||
0920  2108|turritis_glabra|Bras|Bras|Bras|N|VU|s|-1.16|100.0||b||hc||h|0||7|4||0.0|>65|0.0|<45||151.0|0.0|1.0|3.5|16.0|686.0||8|7.0|3.0|8.0|5.0|0.0|Rich (1991)|||
0920   146|arabis_hirsuta|Bras|Bras|Bras|N||n|-1.02|40.0||b|p|hc||h|0||5|6||0.0|>65|0.0|<45||1042.0|143.0|4.0|3.3|14.6|1104.0||7, 16|7.0|5.0|8.0|3.0|0.0|Rich (1991)|||
0920   332|arabidopsis_lyrata_subsp_petraea|Bras|Bras|Bras|N||s|-0.64|25.0||p||Ch||h|0||1|5||0.0|>65|0.0|45-50||78.0|2.0|0.0|1.7|11.9|1966.0||15, 16|9.0|3.0|8.0|1.0|0.0|Rich (1991)|||
0920   147|arabis_scabra|Bras|Bras|Bras|N|VU|r||20.0||p||Ch||h|0||9|3||1.0|50-55|0.0|<45||1.0|0.0|0.0|4.4|16.5|844.0||16|7.0|3.0|8.0|2.0|0.0|Rich (1991)|||
0920   149|arbutus_unedo|Eric|Eric|Eric|N||o|1.18|500.0||p||Ph||w|0||9|1||1.0|50-55|0.0|<45||0.0|8.0|0.0|4.7|14.4|1335.0||1, 16|6.0|5.0|7.0|2.0|0.0|Stace (1991)|||
0920   151|arctium_lappa|Aste|Aste|Aste|AR|||0.51|150.0||b||hc||h|0||7|4|||||||971.0|4.0|1.0|3.8|16.0|769.0||3|9.0|5.0|7.0|9.0|0.0|Sell (draft)|||
0920  2405|arctium_minus|Aste|Aste|Aste|N||n|-0.41|150.0||b||hc||h|0||7|5||0.0|60-65|0.0|<45||2424.0|846.0|14.0|3.7|14.7|1051.0||3|6.0|4.0|7.0|5.0|0.0|same as A. lappa (cf. CTW 1962)|||
0920   156|arctostaphylos_alpinus|Eric|Eric|Eric|N||s|-0.22|20.0||p||Ch||w|Node2||1|6||0.0|>65|0.0|<45||134.0|0.0|0.0|1.6|11.6|1750.0||15|7.0|6.0|2.0|2.0|0.0|estimated canopy height (MOH)|||
0920   155|arctostaphylos_uva_ursi|Eric|Eric|Eric|N||n|-0.75|20.0||p||Ch||w|Node2||4|6||0.0|>65|0.0|<45||473.0|37.0|0.0|2.1|12.3|1615.0||10, 15|7.0|5.0|2.0|2.0|0.0|estimated canopy height (MOH)|||
0920   158|arenaria_ciliata|Cary|Cary|Cary|N||o||6.0||p||Ch||h|0||1|3||0.0|>65|0.0|<45||0.0|1.0|0.0|2.6|12.9|1454.0||15|9.0|5.0|8.0|2.0|0.0|"Stace (1997) ""similar to A. norvegica"""|||
0920  6952|arenaria_norvegica|Cary|Cary|Cary|N||r|0.21|6.0||p|a|Ch|Th|h|0||1|3||0.0|>65|1.0|50-55||16.0|1.0|0.0|2.5|12.3|1904.0||16|9.0|3.0|8.0|2.0|0.0|Stace (1997)|two subspecies;  one is perennial||
0920   162|arenaria_serpyllifolia|Cary|Cary|Cary|N||n|-0.76|30.0||a||Th||h|0||8|4||0.0|>65|0.0|<45||2147.0|522.0|13.0|3.6|14.9|986.0||16|8.0|3.0|7.0|5.0|0.0|Stace (1997)|||
0920   165|armeria_arenaria|Plum|Plum|Cary|N||o||20.0||p||Ch||h|0||8|2||0.0|45-50|0.0|<45||0.0|0.0|5.0|6.1|16.9|843.0|Co|18, 19|8.0|3.0|6.0|2.0|0.0|Leaf length of A maritima + 5 cm - estimate by MOH based on picture|basically a chamaephyte;  it does not die back or attempt to hide||
0920   166|armeria_maritima|Plum|Plum|Cary|N||n|-0.14|15.0||p||Ch||h|0||3|6||0.0|>65|0.0|<45||1137.0|319.0|14.0|3.9|14.1|1265.0|Co|18, 21|8.0|7.0|5.0|5.0|3.0|CTW (1962) - lf length|basically a chamaephyte;  it does not die back or attempt to hide||
0920   167|armoracia_rusticana|Bras|Bras|Bras|AR|||0.05|150.0||p||hc||h|Rhiz2||7|3||||||Crop|1532.0|111.0|10.0|3.8|15.6|850.0||3|8.0|5.0|7.0|7.0|0.0|Rich (1991)|||
0920   168|arnoseris_minima|Aste|Aste|Aste|AR|EX||-3.72|30.0||a||Th||h|0||7|3|||||||83.0|0.0|0.0|3.6|16.1|685.0||4|7.0|4.0|3.0|3.0|0.0|Stace (1991)|||
0920   169|arrhenatherum_elatius|Poac|Poac|Poal|N||n|0.37|150.0||p||hc||h|0gr|DRg|7|3||0.0|>65|0.0|<45||2678.0|958.0|13.0|3.6|14.5|1089.0||3, 6|7.0|5.0|7.0|7.0|0.0|average of CTW (1962) & Stace (1997)||Tuberous form is 'onion couch' var. bulbosum|
0920   170|artemisia_absinthium|Aste|Aste|Aste|AR|||-0.46|90.0||p||Ch||sw|0||7|4|||||||1005.0|41.0|6.0|3.8|15.6|861.0||3, 16, 17|7.0|4.0|7.0|9.0|0.0|CTW (1962)|The buds for next year's growth are mostly below 25 cm. ||
