id,species
920007177,Astilbe x arendsii = A. japonica x A. chinensis x A. rosea
810380380,Astragalus alpinus
810380250,Astragalus cicer
810380270,Astragalus danicus
810380430,Astragalus glycyphyllos
810380810,Astragalus odoratus
1290060010,Astrantia major
180010020,Athyrium distentifolium
180010010,Athyrium filix-femina
480060180,Atriplex glabriuscula
480060010,Atriplex halimus
480060179,Atriplex prostrata
480060040,Atriplex hortensis
480060110,Atriplex laciniata
480060130,Atriplex littoralis
480060190,Atriplex longipes
480060150,Atriplex patula
480070030,Atriplex pedunculata
480070010,Atriplex portulacoides
480060196,Atriplex praecox
920007966,Atriplex suberecta
1520030010,Atropa belladonna
2622,Aubrieta deltoidea
920004447,Aucuba japonica
1930600040,Avena barbata
1930600100,Avena fatua
1930600130,Avena sterilis
1930600110,Avena sativa
1930600070,Avena strigosa
2911,Avena x hybrida = A. fatua x A. sativa
1930620160,Avenula pratensis
1930620010,Avenula pubescens
250010010,Azolla filiculoides
9207181,Baccharis halimifolia
1700020010,Baldellia ranunculoides
1510150070,Ballota nigra
680360010,Barbarea vulgaris
680360040,Barbarea intermedia
680360020,Barbarea stricta
680360030,Barbarea verna
1540310010,Bartsia alpina
1540300150,Odontites vernus
480130070,Bassia scoparia
1930270020,Beckmannia syzigachne
1690050020,Bellis perennis
920007184,Berberis aggregata
920002439,Berberis buxifolia
920002440,Berberis darwinii
920007185,Berberis gagnepainii
920002441,Berberis glaucocarpa
920007186,Berberis julianae
920007187,Berberis thunbergii
630050010,Berberis vulgaris
920007188,Berberis wilsoniae
920007189,Berberis x stenophylla = B. darwinii x B. empetrifolia
730020010,Bergenia crassifolia
680510040,Berteroa incana
1290280010,Berula erecta
480020050,Beta trigyna
480020010,Beta vulgaris
235,Beta vulgaris subsp. cicla
920000235,Beta vulgaris subsp. vulgaris
1510160030,Betonica officinalis
340010040,Betula nana
340010010,Betula pendula
340010020,Betula pubescens
1690410080,Bidens bipinnata
1690410050,Bidens cernua
1690410020,Bidens connata
1690410060,Bidens frondosa
1690410070,Bidens pilosa
1690410010,Bidens tripartita
470030018,Fallopia convolvulus
1400030010,Blackstonia perfoliata
2036,Blechnum spicant
1990020010,Blysmus compressus
1990020020,Blysmus rufus
1990010030,Bolboschoenus maritimus
1480230010,Borago officinalis
1480230020,Borago pygmaea
2091,Botrychium lunaria
920003282,Brachiaria platyphylla
7193,Brachyglottis 'Sunshine' = B. compacta x B. laxifolia
920007194,Brachyglottis monroi
920007195,Brachyglottis repanda
1930450050,Brachypodium distachyon
1930450020,Brachypodium pinnatum
1930450010,Brachypodium sylvaticum
680880110,Brassica rapa
920002563,Brassica carinata
680880010,Brassica elongata
680880130,Brassica juncea
680880100,Brassica napus
920000251,Brassica napus subsp. oleifera
251,Brassica napus subsp. rapifera
680880190,Brassica nigra
680880041,Brassica oleracea
254,Brassica rapa subsp. campestris
2543,Brassica rapa subsp. oleifera
920000254,Brassica rapa subsp. rapa
680880170,Brassica tournefortii
920006960,Brassica x harmsiana = B. napus x B. rapa
1930350020,Briza maxima
1930350010,Briza media
1930350030,Briza minor
1930440110,Bromopsis benekenii
1930440120,Bromopsis erecta
920000265,Bromopsis inermis
265,Bromopsis inermis subsp. inermis
2652,Bromopsis inermis subsp. pumpelliana
1930440100,Bromopsis ramosa
1930440200,Bromus arvensis
1930440370,Ceratochloa carinata
1930440250,Bromus commutatus
1930440270,Bromus hordeaceus
9203307,Bromus hordeaceus subsp. molliformis
1930440280,Bromus interruptus
1930440340,Bromus japonicus
1930440320,Bromus lanceolatus
1930440290,Bromus lepidus
1930440210,Bromus pseudosecalinus
1930440260,Bromus racemosus
1930440220,Bromus secalinus
920002383,Bromus x pseudothominei = B. hordeaceus x B. lepidus
1480200010,Brunnera macrophylla
1170030020,Bryonia dioica
920007198,Buddleja alternifolia
1530010010,Buddleja davidii
920004372,Buddleja globosa
920007842,Buddleja x weyeriana = B. davidii x B. globosa
1480060048,Lithospermum arvense
1480060018,Lithospermum purpurocaeruleum
680160020,Bunias orientalis
1290210010,Bunium bulbocastanum
1290560110,Bupleurum baldense
1290560290,Bupleurum falcatum
1290560390,Bupleurum fruticosum
1290560010,Bupleurum rotundifolium
920004423,Bupleurum subovatum
1290560230,Bupleurum tenuissimum
1710010010,Butomus umbellatus
1020010010,Buxus sempervirens
920005463,Cabomba caroliniana
681000010,Cakile maritima
1930910040,Calamagrostis canescens
1930910010,Calamagrostis epigejos
1930910050,Calamagrostis purpurea
1930910070,Calamagrostis scotica
1930910060,Calamagrostis stricta
1510260050,Clinopodium ascendens
1510280010,Clinopodium vulgare
1510270030,Clinopodium calamintha
1510270020,Clinopodium menthifolium
920007199,Calceolaria chelidonioides
1691000040,Calendula arvensis
1691000020,Calendula officinalis
1950020010,Calla palustris
920007978,Callistephus chinensis
1500010110,Callitriche brutia
1500010100,Callitriche brutia subsp. hamulata
1500010010,Callitriche hermaphroditica
1500010060,Callitriche obtusangula
1500010080,Callitriche platycarpa
1500010050,Callitriche stagnalis
1500010020,Callitriche truncata
1320030010,Calluna vulgaris
920007979,Calotis cuneifolia
610100010,Caltha palustris
810570970,Trifolium subterraneum
1460040040,Calystegia pulchra
1460040020,Calystegia sepium
1460040030,Calystegia silvatica
1460040010,Calystegia soldanella
920004387,Calystegia x howittiorum = C. pulchra x C. silvatica
920004386,Calystegia x lucana = C. sepium x C. silvatica
920007200,Calystegia x scanica = C. sepium x C. pulchra
680650020,Camelina microcarpa
680660010,Camelina sativa
920007201,Campanula alliariifolia
1680011410,Campanula rotundifolia
1680010700,Campanula glomerata
920004396,Campanula lactiflora
1680010990,Campanula latifolia
1680010310,Campanula medium
1680010150,Campanula patula
1680010200,Campanula persicifolia
1680010900,Campanula portenschlagiana
1680010910,Campanula poscharskyana
1680010760,Campanula pyramidalis
1680011010,Campanula rapunculoides
1680010190,Campanula rapunculus
1680011270,Campanula rhomboidalis
1680011000,Campanula trachelium
390020010,Cannabis sativa
680680010,Capsella bursa-pastoris
680670020,Capsella rubella
920007204,Capsella x gracilis = C. bursa-pastoris x C. rubella
1520090010,Capsicum annuum
680410130,Cardamine amara
680410010,Cardamine bulbifera
920003326,Cardamine corymbosa
680410200,Cardamine pratensis
680410350,Cardamine flexuosa
7986,Cardamine heptaphylla
680410360,Cardamine hirsuta
680410330,Cardamine impatiens
680400140,Cardamine raphanifolia
680400110,Cardamine trifolia
680810010,Lepidium draba
1691170120,Carduus crispus
1691170050,Carduus nutans
1691170450,Carduus pycnocephalus
1691170440,Carduus tenuiflorus
1990121680,Carex acuta
1990120510,Carex acutiformis
1990120040,Carex appropinquata
1990121620,Carex aquatilis
1990120120,Carex arenaria
1990121460,Carex atrata
1990121400,Carex atrofusca
1990120989,Carex viridula
1990121630,Carex bigelowii
1990120870,Carex binervis
1990121480,Carex buxbaumii
1990120400,Carex canescens subsp. canescens
1990120670,Carex capillaris
1990121110,Carex caryophyllea
1990120190,Carex chordorrhiza
1990120090,Carex spicata
1990120070,Carex otrubae
1990120780,Carex depauperata
1990120050,Carex diandra
1990121060,Carex digitata
1990120300,Carex dioica
1990120880,Carex distans
1990120150,Carex disticha
1990120200,Carex divisa
1990120110,Carex divulsa
1990120290,Carex echinata
1990121640,Carex elata
1990120330,Carex elongata
1990121190,Carex ericetorum
1990120920,Carex extensa
1990121170,Carex filiformis
1990120720,Carex flacca
1990120960,Carex flava
1990120480,Carex hirta
1990120940,Carex hostiana
1990121090,Carex humilis
1990120340,Carex lachenalii
1990120840,Carex laevigata
1990120500,Carex lasiocarpa
1990120270,Carex leporina
1990121420,Carex limosa
1990121440,Carex magellanica
1990120240,Carex maritima
1990121700,Carex microglochin
1990121210,Carex montana
1990120100,Carex muricata
1990121670,Carex nigra
1990121500,Carex norvegica
1990121070,Carex ornithopoda
1990121030,Carex pallescens
1990120740,Carex panicea
1990120030,Carex paniculata
1990121710,Carex pauciflora
1990120620,Carex pendula
1990121240,Carex pilulifera
1990120540,Carex pseudocyperus
1990121780,Carex pulicaris
1990120900,Carex punctata
1990121430,Carex rariflora
1990121580,Carex recta
1990120250,Carex remota
1990120530,Carex riparia
1990120550,Carex rostrata
1990121720,Carex rupestris
1990120580,Carex saxatilis
1990120700,Carex strigosa
1990120640,Carex sylvatica
1990120750,Carex vaginata
1990120570,Carex vesicaria
1990120060,Carex vulpina
1990120080,Carex vulpinoidea
1691060060,Carlina vulgaris
350010010,Carpinus betulus
920007213,Carpobrotus acinaciformis
520030020,Carpobrotus edulis
520020020,Carpobrotus glaucescens
1691430070,Carthamus lanatus
1691430020,Carthamus tinctorius
1290710010,Carum carvi
1290710030,Carum verticillatum
360020010,Castanea sativa
1930300010,Catabrosa aquatica
1691470010,Catananche caerulea
1930120020,Catapodium marinum
1930120030,Catapodium rigidum
1291020030,Torilis japonica
1291020020,Torilis arvensis
1291090010,Caucalis platycarpos
1291020010,Torilis nodosa
260060020,Cedrus atlantica
260060010,Cedrus deodara
920006789,Cedrus libani
